,filename,new_filename,label,group,delta,timestamp
22,2019-04-05-10-07-14-488516-CAM1_godet-vide.png,2019-04-05-10-07-14-488516-CAM1_godet-vide_grp8.png,godet-vide,8,0 days 00:00:01,2019-04-05 10:07:14
24,2019-04-05-10-07-39-959998-CAM2_not-labeled.png,2019-04-05-10-07-39-959998-CAM2_godet-vide_grp9.png,godet-vide,9,0 days 00:00:24,2019-04-05 10:07:39
25,2019-04-05-10-07-40-645192-CAM1_godet-vide.png,2019-04-05-10-07-40-645192-CAM1_godet-vide_grp9.png,godet-vide,9,0 days 00:00:01,2019-04-05 10:07:40
27,2019-04-05-10-08-12-515397-CAM2_godet-vide.png,2019-04-05-10-08-12-515397-CAM2_godet-vide_grp10.png,godet-vide,10,0 days 00:00:31,2019-04-05 10:08:12
28,2019-04-05-10-08-13-195095-CAM1_godet-vide.png,2019-04-05-10-08-13-195095-CAM1_godet-vide_grp10.png,godet-vide,10,0 days 00:00:01,2019-04-05 10:08:13
30,2019-04-05-10-12-13-071108-CAM2_ela.png,2019-04-05-10-12-13-071108-CAM2_ela_grp11.png,ela,11,0 days 00:04:00,2019-04-05 10:12:13
31,2019-04-05-10-12-13-811798-CAM1_ela.png,2019-04-05-10-12-13-811798-CAM1_ela_grp11.png,ela,11,0 days 00:00:00,2019-04-05 10:12:13
33,2019-04-05-10-13-02-570944-CAM2_ela.png,2019-04-05-10-13-02-570944-CAM2_ela_grp12.png,ela,12,0 days 00:00:48,2019-04-05 10:13:02
34,2019-04-05-10-13-03-265921-CAM1_not-labeled.png,2019-04-05-10-13-03-265921-CAM1_ela_grp12.png,ela,12,0 days 00:00:01,2019-04-05 10:13:03
36,2019-04-05-10-13-27-978265-CAM2_not-labeled.png,2019-04-05-10-13-27-978265-CAM2_ela_grp13.png,ela,13,0 days 00:00:24,2019-04-05 10:13:27
37,2019-04-05-10-13-28-680637-CAM1_ela.png,2019-04-05-10-13-28-680637-CAM1_ela_grp13.png,ela,13,0 days 00:00:01,2019-04-05 10:13:28
39,2019-04-05-10-13-35-931964-CAM2_ela.png,2019-04-05-10-13-35-931964-CAM2_ela_grp14.png,ela,14,0 days 00:00:06,2019-04-05 10:13:35
40,2019-04-05-10-13-36-604063-CAM1_ela.png,2019-04-05-10-13-36-604063-CAM1_ela_grp14.png,ela,14,0 days 00:00:01,2019-04-05 10:13:36
42,2019-04-05-10-13-43-219592-CAM2_godet-vide.png,2019-04-05-10-13-43-219592-CAM2_godet-vide_grp15.png,godet-vide,15,0 days 00:00:06,2019-04-05 10:13:43
43,2019-04-05-10-13-43-931654-CAM1_ela.png,2019-04-05-10-13-43-931654-CAM1_godet-vide_grp15.png,godet-vide,15,0 days 00:00:00,2019-04-05 10:13:43
45,2019-04-05-10-14-29-183750-CAM2_ela.png,2019-04-05-10-14-29-183750-CAM2_ela_grp16.png,ela,16,0 days 00:00:45,2019-04-05 10:14:29
46,2019-04-05-10-14-29-943483-CAM1_ela.png,2019-04-05-10-14-29-943483-CAM1_ela_grp16.png,ela,16,0 days 00:00:00,2019-04-05 10:14:29
48,2019-04-05-10-14-37-387280-CAM2_ela.png,2019-04-05-10-14-37-387280-CAM2_ela_grp17.png,ela,17,0 days 00:00:07,2019-04-05 10:14:37
49,2019-04-05-10-14-38-107054-CAM1_ela.png,2019-04-05-10-14-38-107054-CAM1_ela_grp17.png,ela,17,0 days 00:00:01,2019-04-05 10:14:38
51,2019-04-05-10-15-01-686723-CAM2_pe-hd-opaque.png,2019-04-05-10-15-01-686723-CAM2_pe-hd-opaque_grp18.png,pe-hd-opaque,18,0 days 00:00:23,2019-04-05 10:15:01
52,2019-04-05-10-15-02-381376-CAM1_pe-hd-opaque.png,2019-04-05-10-15-02-381376-CAM1_pe-hd-opaque_grp18.png,pe-hd-opaque,18,0 days 00:00:01,2019-04-05 10:15:02
54,2019-04-05-10-15-08-625405-CAM2_not-labeled.png,2019-04-05-10-15-08-625405-CAM2_pe-hd-opaque_grp19.png,pe-hd-opaque,19,0 days 00:00:05,2019-04-05 10:15:08
55,2019-04-05-10-15-09-319693-CAM1_not-labeled.png,2019-04-05-10-15-09-319693-CAM1_pe-hd-opaque_grp19.png,pe-hd-opaque,19,0 days 00:00:01,2019-04-05 10:15:09
57,2019-04-05-10-17-45-272852-CAM2_not-labeled.png,2019-04-05-10-17-45-272852-CAM2_godet-vide_grp20.png,godet-vide,20,0 days 00:02:36,2019-04-05 10:17:45
58,2019-04-05-10-17-46-008243-CAM1_godet-vide.png,2019-04-05-10-17-46-008243-CAM1_godet-vide_grp20.png,godet-vide,20,0 days 00:00:01,2019-04-05 10:17:46
60,2019-04-05-10-19-49-003506-CAM2_godet-vide.png,2019-04-05-10-19-49-003506-CAM2_godet-vide_grp21.png,godet-vide,21,0 days 00:02:03,2019-04-05 10:19:49
61,2019-04-05-10-19-49-748039-CAM1_not-labeled.png,2019-04-05-10-19-49-748039-CAM1_godet-vide_grp21.png,godet-vide,21,0 days 00:00:00,2019-04-05 10:19:49
63,2019-04-05-10-22-35-893291-CAM2_godet-vide.png,2019-04-05-10-22-35-893291-CAM2_godet-vide_grp22.png,godet-vide,22,0 days 00:02:45,2019-04-05 10:22:35
64,2019-04-05-10-22-36-576990-CAM1_godet-vide.png,2019-04-05-10-22-36-576990-CAM1_godet-vide_grp22.png,godet-vide,22,0 days 00:00:01,2019-04-05 10:22:36
66,2019-04-05-10-23-50-536691-CAM2_pe-hd-opaque.png,2019-04-05-10-23-50-536691-CAM2_pe-hd-opaque_grp23.png,pe-hd-opaque,23,0 days 00:01:13,2019-04-05 10:23:50
67,2019-04-05-10-23-51-271196-CAM1_not-labeled.png,2019-04-05-10-23-51-271196-CAM1_pe-hd-opaque_grp23.png,pe-hd-opaque,23,0 days 00:00:01,2019-04-05 10:23:51
69,2019-04-05-10-23-57-719342-CAM2_pe-hd-opaque.png,2019-04-05-10-23-57-719342-CAM2_pe-hd-opaque_grp24.png,pe-hd-opaque,24,0 days 00:00:06,2019-04-05 10:23:57
70,2019-04-05-10-23-58-408190-CAM1_pe-hd-opaque.png,2019-04-05-10-23-58-408190-CAM1_pe-hd-opaque_grp24.png,pe-hd-opaque,24,0 days 00:00:01,2019-04-05 10:23:58
72,2019-04-05-10-25-42-968014-CAM2_pe-hd-opaque.png,2019-04-05-10-25-42-968014-CAM2_pe-hd-opaque_grp25.png,pe-hd-opaque,25,0 days 00:01:43,2019-04-05 10:25:42
73,2019-04-05-10-25-43-698245-CAM1_not-labeled.png,2019-04-05-10-25-43-698245-CAM1_pe-hd-opaque_grp25.png,pe-hd-opaque,25,0 days 00:00:01,2019-04-05 10:25:43
75,2019-04-05-10-27-29-277154-CAM2_pe-hd-opaque.png,2019-04-05-10-27-29-277154-CAM2_pe-hd-opaque_grp26.png,pe-hd-opaque,26,0 days 00:01:45,2019-04-05 10:27:29
76,2019-04-05-10-27-29-930420-CAM1_pe-hd-opaque.png,2019-04-05-10-27-29-930420-CAM1_pe-hd-opaque_grp26.png,pe-hd-opaque,26,0 days 00:00:00,2019-04-05 10:27:29
78,2019-04-05-10-27-36-571500-CAM2_godet-vide.png,2019-04-05-10-27-36-571500-CAM2_godet-vide_grp27.png,godet-vide,27,0 days 00:00:06,2019-04-05 10:27:36
79,2019-04-05-10-27-37-260735-CAM1_not-labeled.png,2019-04-05-10-27-37-260735-CAM1_godet-vide_grp27.png,godet-vide,27,0 days 00:00:01,2019-04-05 10:27:37
81,2019-04-05-10-27-43-925650-CAM2_pet-fonce.png,2019-04-05-10-27-43-925650-CAM2_pet-fonce_grp28.png,pet-fonce,28,0 days 00:00:06,2019-04-05 10:27:43
82,2019-04-05-10-27-44-625836-CAM1_pet-fonce.png,2019-04-05-10-27-44-625836-CAM1_pet-fonce_grp28.png,pet-fonce,28,0 days 00:00:01,2019-04-05 10:27:44
84,2019-04-05-10-30-39-699951-CAM2_pet-fonce.png,2019-04-05-10-30-39-699951-CAM2_pet-fonce_grp29.png,pet-fonce,29,0 days 00:02:54,2019-04-05 10:30:39
85,2019-04-05-10-30-40-453343-CAM1_not-labeled.png,2019-04-05-10-30-40-453343-CAM1_pet-fonce_grp29.png,pet-fonce,29,0 days 00:00:01,2019-04-05 10:30:40
87,2019-04-05-10-30-51-026170-CAM2_pet-fonce.png,2019-04-05-10-30-51-026170-CAM2_pet-fonce_grp30.png,pet-fonce,30,0 days 00:00:10,2019-04-05 10:30:51
88,2019-04-05-10-30-51-724714-CAM1_pet-fonce.png,2019-04-05-10-30-51-724714-CAM1_pet-fonce_grp30.png,pet-fonce,30,0 days 00:00:00,2019-04-05 10:30:51
90,2019-04-05-10-31-06-051853-CAM2_pet-clair.png,2019-04-05-10-31-06-051853-CAM2_pet-fonce_grp31.png,pet-fonce,31,0 days 00:00:14,2019-04-05 10:31:06
91,2019-04-05-10-31-06-761602-CAM1_pet-fonce.png,2019-04-05-10-31-06-761602-CAM1_pet-fonce_grp31.png,pet-fonce,31,0 days 00:00:00,2019-04-05 10:31:06
93,2019-04-05-10-31-18-771196-CAM2_pet-clair.png,2019-04-05-10-31-18-771196-CAM2_pet-clair_grp32.png,pet-clair,32,0 days 00:00:11,2019-04-05 10:31:18
94,2019-04-05-10-31-19-455676-CAM1_pet-clair.png,2019-04-05-10-31-19-455676-CAM1_pet-clair_grp32.png,pet-clair,32,0 days 00:00:01,2019-04-05 10:31:19
96,2019-04-05-10-31-31-408704-CAM2_pe-hd-opaque.png,2019-04-05-10-31-31-408704-CAM2_pe-hd-opaque_grp33.png,pe-hd-opaque,33,0 days 00:00:11,2019-04-05 10:31:31
97,2019-04-05-10-31-32-063993-CAM1_pe-hd-opaque.png,2019-04-05-10-31-32-063993-CAM1_pe-hd-opaque_grp33.png,pe-hd-opaque,33,0 days 00:00:01,2019-04-05 10:31:32
99,2019-04-05-10-31-46-672370-CAM2_pe-hd-opaque.png,2019-04-05-10-31-46-672370-CAM2_godet-vide_grp34.png,godet-vide,34,0 days 00:00:14,2019-04-05 10:31:46
100,2019-04-05-10-31-47-348222-CAM1_pe-hd-opaque.png,2019-04-05-10-31-47-348222-CAM1_godet-vide_grp34.png,godet-vide,34,0 days 00:00:01,2019-04-05 10:31:47
105,2019-04-05-10-32-04-868971-CAM2_pe-hd-opaque.png,2019-04-05-10-32-04-868971-CAM2_pe-hd-opaque_grp35.png,pe-hd-opaque,35,0 days 00:00:11,2019-04-05 10:32:04
106,2019-04-05-10-32-05-547014-CAM1_pe-hd-opaque.png,2019-04-05-10-32-05-547014-CAM1_pe-hd-opaque_grp35.png,pe-hd-opaque,35,0 days 00:00:01,2019-04-05 10:32:05
108,2019-04-05-10-32-12-958492-CAM2_not-labeled.png,2019-04-05-10-32-12-958492-CAM2_pe-hd-opaque_grp36.png,pe-hd-opaque,36,0 days 00:00:06,2019-04-05 10:32:12
109,2019-04-05-10-32-13-694987-CAM1_pe-hd-opaque.png,2019-04-05-10-32-13-694987-CAM1_pe-hd-opaque_grp36.png,pe-hd-opaque,36,0 days 00:00:01,2019-04-05 10:32:13
111,2019-04-05-10-32-18-992539-CAM2_pe-hd-opaque.png,2019-04-05-10-32-18-992539-CAM2_pe-hd-opaque_grp37.png,pe-hd-opaque,37,0 days 00:00:04,2019-04-05 10:32:18
112,2019-04-05-10-32-19-657874-CAM1_pe-hd-opaque.png,2019-04-05-10-32-19-657874-CAM1_pe-hd-opaque_grp37.png,pe-hd-opaque,37,0 days 00:00:01,2019-04-05 10:32:19
114,2019-04-05-10-32-43-957953-CAM2_pet-fonce.png,2019-04-05-10-32-43-957953-CAM2_pet-fonce_grp38.png,pet-fonce,38,0 days 00:00:23,2019-04-05 10:32:43
115,2019-04-05-10-32-44-642649-CAM1_pet-fonce.png,2019-04-05-10-32-44-642649-CAM1_pet-fonce_grp38.png,pet-fonce,38,0 days 00:00:01,2019-04-05 10:32:44
117,2019-04-05-10-32-51-134909-CAM2_pet-fonce.png,2019-04-05-10-32-51-134909-CAM2_pet-fonce_grp39.png,pet-fonce,39,0 days 00:00:06,2019-04-05 10:32:51
118,2019-04-05-10-32-51-825993-CAM1_pet-fonce.png,2019-04-05-10-32-51-825993-CAM1_pet-fonce_grp39.png,pet-fonce,39,0 days 00:00:00,2019-04-05 10:32:51
120,2019-04-05-10-33-08-416792-CAM2_pet-clair.png,2019-04-05-10-33-08-416792-CAM2_pet-clair_grp40.png,pet-clair,40,0 days 00:00:16,2019-04-05 10:33:08
121,2019-04-05-10-33-09-113096-CAM1_pet-clair.png,2019-04-05-10-33-09-113096-CAM1_pet-clair_grp40.png,pet-clair,40,0 days 00:00:01,2019-04-05 10:33:09
123,2019-04-05-10-34-13-595412-CAM2_not-labeled.png,2019-04-05-10-34-13-595412-CAM2_pet-fonce_grp41.png,pet-fonce,41,0 days 00:01:04,2019-04-05 10:34:13
124,2019-04-05-10-34-14-285378-CAM1_pet-fonce.png,2019-04-05-10-34-14-285378-CAM1_pet-fonce_grp41.png,pet-fonce,41,0 days 00:00:01,2019-04-05 10:34:14
126,2019-04-05-10-34-31-474611-CAM2_pe-hd-opaque.png,2019-04-05-10-34-31-474611-CAM2_pe-hd-opaque_grp42.png,pe-hd-opaque,42,0 days 00:00:17,2019-04-05 10:34:31
127,2019-04-05-10-34-32-173405-CAM1_pe-hd-opaque.png,2019-04-05-10-34-32-173405-CAM1_pe-hd-opaque_grp42.png,pe-hd-opaque,42,0 days 00:00:01,2019-04-05 10:34:32
129,2019-04-05-10-34-43-114374-CAM2_pe-hd-opaque.png,2019-04-05-10-34-43-114374-CAM2_pe-hd-opaque_grp43.png,pe-hd-opaque,43,0 days 00:00:11,2019-04-05 10:34:43
130,2019-04-05-10-34-43-858538-CAM1_pe-hd-opaque.png,2019-04-05-10-34-43-858538-CAM1_pe-hd-opaque_grp43.png,pe-hd-opaque,43,0 days 00:00:00,2019-04-05 10:34:43
132,2019-04-05-10-35-36-700435-CAM2_pe-hd-opaque.png,2019-04-05-10-35-36-700435-CAM2_pe-hd-opaque_grp44.png,pe-hd-opaque,44,0 days 00:00:52,2019-04-05 10:35:36
133,2019-04-05-10-35-37-401157-CAM1_pe-hd-opaque.png,2019-04-05-10-35-37-401157-CAM1_pe-hd-opaque_grp44.png,pe-hd-opaque,44,0 days 00:00:01,2019-04-05 10:35:37
135,2019-04-05-10-35-47-792933-CAM2_pe-hd-opaque.png,2019-04-05-10-35-47-792933-CAM2_pe-hd-opaque_grp45.png,pe-hd-opaque,45,0 days 00:00:09,2019-04-05 10:35:47
136,2019-04-05-10-35-48-479095-CAM1_pe-hd-opaque.png,2019-04-05-10-35-48-479095-CAM1_pe-hd-opaque_grp45.png,pe-hd-opaque,45,0 days 00:00:01,2019-04-05 10:35:48
138,2019-04-05-10-35-53-056405-CAM2_not-labeled.png,2019-04-05-10-35-53-056405-CAM2_pe-hd-opaque_grp46.png,pe-hd-opaque,46,0 days 00:00:04,2019-04-05 10:35:53
139,2019-04-05-10-35-53-720001-CAM1_pe-hd-opaque.png,2019-04-05-10-35-53-720001-CAM1_pe-hd-opaque_grp46.png,pe-hd-opaque,46,0 days 00:00:00,2019-04-05 10:35:53
141,2019-04-05-10-35-59-034909-CAM2_pe-hd-opaque.png,2019-04-05-10-35-59-034909-CAM2_pe-hd-opaque_grp47.png,pe-hd-opaque,47,0 days 00:00:05,2019-04-05 10:35:59
142,2019-04-05-10-35-59-723489-CAM1_pe-hd-opaque.png,2019-04-05-10-35-59-723489-CAM1_pe-hd-opaque_grp47.png,pe-hd-opaque,47,0 days 00:00:00,2019-04-05 10:35:59
144,2019-04-05-10-36-11-841013-CAM2_pet-clair.png,2019-04-05-10-36-11-841013-CAM2_pet-clair_grp48.png,pet-clair,48,0 days 00:00:11,2019-04-05 10:36:11
145,2019-04-05-10-36-12-512420-CAM1_pet-clair.png,2019-04-05-10-36-12-512420-CAM1_pet-clair_grp48.png,pet-clair,48,0 days 00:00:01,2019-04-05 10:36:12
147,2019-04-05-10-36-17-890810-CAM2_pet-clair.png,2019-04-05-10-36-17-890810-CAM2_pet-clair_grp49.png,pet-clair,49,0 days 00:00:04,2019-04-05 10:36:17
148,2019-04-05-10-36-18-591467-CAM1_pet-clair.png,2019-04-05-10-36-18-591467-CAM1_pet-clair_grp49.png,pet-clair,49,0 days 00:00:01,2019-04-05 10:36:18
150,2019-04-05-10-36-24-702764-CAM2_pet-clair.png,2019-04-05-10-36-24-702764-CAM2_pet-clair_grp50.png,pet-clair,50,0 days 00:00:05,2019-04-05 10:36:24
151,2019-04-05-10-36-25-410678-CAM1_pet-clair.png,2019-04-05-10-36-25-410678-CAM1_pet-clair_grp50.png,pet-clair,50,0 days 00:00:01,2019-04-05 10:36:25
153,2019-04-05-10-36-30-192797-CAM2_pet-clair.png,2019-04-05-10-36-30-192797-CAM2_pet-clair_grp51.png,pet-clair,51,0 days 00:00:04,2019-04-05 10:36:30
154,2019-04-05-10-36-30-882939-CAM1_pet-clair.png,2019-04-05-10-36-30-882939-CAM1_pet-clair_grp51.png,pet-clair,51,0 days 00:00:00,2019-04-05 10:36:30
156,2019-04-05-10-36-37-178805-CAM2_pet-clair.png,2019-04-05-10-36-37-178805-CAM2_pet-clair_grp52.png,pet-clair,52,0 days 00:00:06,2019-04-05 10:36:37
157,2019-04-05-10-36-37-924985-CAM1_pet-clair.png,2019-04-05-10-36-37-924985-CAM1_pet-clair_grp52.png,pet-clair,52,0 days 00:00:00,2019-04-05 10:36:37
159,2019-04-05-10-36-44-224587-CAM2_not-labeled.png,2019-04-05-10-36-44-224587-CAM2_godet-vide_grp53.png,godet-vide,53,0 days 00:00:06,2019-04-05 10:36:44
160,2019-04-05-10-36-44-885004-CAM1_godet-vide.png,2019-04-05-10-36-44-885004-CAM1_godet-vide_grp53.png,godet-vide,53,0 days 00:00:00,2019-04-05 10:36:44
162,2019-04-05-10-36-54-279485-CAM2_pet-clair.png,2019-04-05-10-36-54-279485-CAM2_pet-clair_grp54.png,pet-clair,54,0 days 00:00:09,2019-04-05 10:36:54
163,2019-04-05-10-36-54-995991-CAM1_pet-clair.png,2019-04-05-10-36-54-995991-CAM1_pet-clair_grp54.png,pet-clair,54,0 days 00:00:00,2019-04-05 10:36:54
165,2019-04-05-10-36-59-742997-CAM2_pet-clair.png,2019-04-05-10-36-59-742997-CAM2_pet-clair_grp55.png,pet-clair,55,0 days 00:00:04,2019-04-05 10:36:59
166,2019-04-05-10-37-00-444461-CAM1_pet-clair.png,2019-04-05-10-37-00-444461-CAM1_pet-clair_grp55.png,pet-clair,55,0 days 00:00:01,2019-04-05 10:37:00
168,2019-04-05-10-37-11-619440-CAM2_pet-clair.png,2019-04-05-10-37-11-619440-CAM2_pet-clair_grp56.png,pet-clair,56,0 days 00:00:10,2019-04-05 10:37:11
169,2019-04-05-10-37-12-323175-CAM1_not-labeled.png,2019-04-05-10-37-12-323175-CAM1_pet-clair_grp56.png,pet-clair,56,0 days 00:00:01,2019-04-05 10:37:12
171,2019-04-05-10-37-22-699358-CAM2_pet-clair.png,2019-04-05-10-37-22-699358-CAM2_pet-clair_grp57.png,pet-clair,57,0 days 00:00:10,2019-04-05 10:37:22
172,2019-04-05-10-37-23-391407-CAM1_pet-clair.png,2019-04-05-10-37-23-391407-CAM1_pet-clair_grp57.png,pet-clair,57,0 days 00:00:01,2019-04-05 10:37:23
174,2019-04-05-10-37-43-679201-CAM2_pet-clair.png,2019-04-05-10-37-43-679201-CAM2_pet-clair_grp58.png,pet-clair,58,0 days 00:00:19,2019-04-05 10:37:43
175,2019-04-05-10-37-44-448993-CAM1_not-labeled.png,2019-04-05-10-37-44-448993-CAM1_pet-clair_grp58.png,pet-clair,58,0 days 00:00:01,2019-04-05 10:37:44
177,2019-04-05-10-37-55-827754-CAM2_pet-fonce.png,2019-04-05-10-37-55-827754-CAM2_pet-fonce_grp59.png,pet-fonce,59,0 days 00:00:10,2019-04-05 10:37:55
178,2019-04-05-10-37-56-512737-CAM1_not-labeled.png,2019-04-05-10-37-56-512737-CAM1_pet-fonce_grp59.png,pet-fonce,59,0 days 00:00:01,2019-04-05 10:37:56
180,2019-04-05-10-38-02-589819-CAM2_pet-fonce.png,2019-04-05-10-38-02-589819-CAM2_pet-fonce_grp60.png,pet-fonce,60,0 days 00:00:05,2019-04-05 10:38:02
181,2019-04-05-10-38-03-283801-CAM1_pet-fonce.png,2019-04-05-10-38-03-283801-CAM1_pet-fonce_grp60.png,pet-fonce,60,0 days 00:00:01,2019-04-05 10:38:03
183,2019-04-05-10-38-08-651542-CAM2_pet-fonce.png,2019-04-05-10-38-08-651542-CAM2_pet-fonce_grp61.png,pet-fonce,61,0 days 00:00:05,2019-04-05 10:38:08
184,2019-04-05-10-38-09-342527-CAM1_godet-vide.png,2019-04-05-10-38-09-342527-CAM1_pet-fonce_grp61.png,pet-fonce,61,0 days 00:00:01,2019-04-05 10:38:09
186,2019-04-05-10-38-23-966625-CAM2_not-labeled.png,2019-04-05-10-38-23-966625-CAM2_pet-fonce_grp62.png,pet-fonce,62,0 days 00:00:14,2019-04-05 10:38:23
187,2019-04-05-10-38-24-684126-CAM1_pet-fonce.png,2019-04-05-10-38-24-684126-CAM1_pet-fonce_grp62.png,pet-fonce,62,0 days 00:00:01,2019-04-05 10:38:24
189,2019-04-05-10-38-37-575846-CAM2_pet-clair.png,2019-04-05-10-38-37-575846-CAM2_pet-clair_grp63.png,pet-clair,63,0 days 00:00:12,2019-04-05 10:38:37
190,2019-04-05-10-38-38-286127-CAM1_pet-clair.png,2019-04-05-10-38-38-286127-CAM1_pet-clair_grp63.png,pet-clair,63,0 days 00:00:01,2019-04-05 10:38:38
192,2019-04-05-10-38-43-091454-CAM2_pet-clair.png,2019-04-05-10-38-43-091454-CAM2_pet-clair_grp64.png,pet-clair,64,0 days 00:00:05,2019-04-05 10:38:43
193,2019-04-05-10-38-43-863458-CAM1_pet-clair.png,2019-04-05-10-38-43-863458-CAM1_pet-clair_grp64.png,pet-clair,64,0 days 00:00:00,2019-04-05 10:38:43
195,2019-04-05-10-38-51-381070-CAM2_pet-clair.png,2019-04-05-10-38-51-381070-CAM2_pet-clair_grp65.png,pet-clair,65,0 days 00:00:07,2019-04-05 10:38:51
196,2019-04-05-10-38-52-133361-CAM1_pet-clair.png,2019-04-05-10-38-52-133361-CAM1_pet-clair_grp65.png,pet-clair,65,0 days 00:00:01,2019-04-05 10:38:52
198,2019-04-05-10-39-05-269961-CAM2_pet-fonce.png,2019-04-05-10-39-05-269961-CAM2_pet-fonce_grp66.png,pet-fonce,66,0 days 00:00:13,2019-04-05 10:39:05
199,2019-04-05-10-39-06-013882-CAM1_pet-fonce.png,2019-04-05-10-39-06-013882-CAM1_pet-fonce_grp66.png,pet-fonce,66,0 days 00:00:01,2019-04-05 10:39:06
201,2019-04-05-10-39-14-423609-CAM2_pet-fonce.png,2019-04-05-10-39-14-423609-CAM2_pet-fonce_grp67.png,pet-fonce,67,0 days 00:00:08,2019-04-05 10:39:14
202,2019-04-05-10-39-15-113603-CAM1_pet-fonce.png,2019-04-05-10-39-15-113603-CAM1_pet-fonce_grp67.png,pet-fonce,67,0 days 00:00:01,2019-04-05 10:39:15
204,2019-04-05-10-39-20-443192-CAM2_not-labeled.png,2019-04-05-10-39-20-443192-CAM2_pet-fonce_grp68.png,pet-fonce,68,0 days 00:00:05,2019-04-05 10:39:20
205,2019-04-05-10-39-21-129283-CAM1_not-labeled.png,2019-04-05-10-39-21-129283-CAM1_pet-fonce_grp68.png,pet-fonce,68,0 days 00:00:01,2019-04-05 10:39:21
207,2019-04-05-10-39-27-743771-CAM2_pet-fonce.png,2019-04-05-10-39-27-743771-CAM2_pet-fonce_grp69.png,pet-fonce,69,0 days 00:00:06,2019-04-05 10:39:27
208,2019-04-05-10-39-28-397079-CAM1_pet-fonce.png,2019-04-05-10-39-28-397079-CAM1_pet-fonce_grp69.png,pet-fonce,69,0 days 00:00:01,2019-04-05 10:39:28
210,2019-04-05-10-39-39-936598-CAM2_not-labeled.png,2019-04-05-10-39-39-936598-CAM2_pet-fonce_grp70.png,pet-fonce,70,0 days 00:00:10,2019-04-05 10:39:39
211,2019-04-05-10-39-40-672992-CAM1_pet-fonce.png,2019-04-05-10-39-40-672992-CAM1_pet-fonce_grp70.png,pet-fonce,70,0 days 00:00:01,2019-04-05 10:39:40
213,2019-04-05-10-39-45-993882-CAM2_pet-fonce.png,2019-04-05-10-39-45-993882-CAM2_pet-fonce_grp71.png,pet-fonce,71,0 days 00:00:04,2019-04-05 10:39:45
214,2019-04-05-10-39-46-677982-CAM1_pet-fonce.png,2019-04-05-10-39-46-677982-CAM1_pet-fonce_grp71.png,pet-fonce,71,0 days 00:00:01,2019-04-05 10:39:46
